Year,Country / territory of asylum/residence,Latitude,Longitude,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
2002,Denmark,56.26392,9.50179,Eritrea,G / FI,6,0,3,0,4,7,0,11,0,0
2000,Denmark,56.26392,9.50179,Eritrea,G / AR,0,0,0,0,0,1,0,1,0,0
2001,Denmark,56.26392,9.50179,Eritrea,G / AR,0,0,0,0,0,1,0,1,1,0
2002,Denmark,56.26392,9.50179,Eritrea,G / AR,1,0,0,0,0,4,0,4,2,0
2003,Denmark,56.26392,9.50179,Eritrea,G / AR,2,0,0,0,0,1,0,1,0,0
2004,Denmark,56.26392,9.50179,Eritrea,G / AR,0,0,0,0,0,1,0,1,6,0
2005,Denmark,56.26392,9.50179,Eritrea,G / AR,6,0,0,0,1,5,0,6,1,0
2006,Denmark,56.26392,9.50179,Eritrea,G / AR,1,0,0,0,0,2,0,2,0,0
2009,Denmark,56.26392,9.50179,Eritrea,G / AR,0,0,0,0,0,0,0,,1,0
2010,Denmark,56.26392,9.50179,Eritrea,G / AR,1,0,0,0,0,0,0,,3,0
2011,Denmark,56.26392,9.50179,Eritrea,G / AR,3,0,0,2,1,3,0,6,0,0
2009,Djibouti,11.82514,42.59028,Eritrea,U / FI,225,0,393,151,0,0,5,156,462,0
2011,Djibouti,11.82514,42.59028,Eritrea,U / FI,360,360,314,49,2,0,53,104,570,570
2012,Djibouti,11.82514,42.59028,Eritrea,J / FI,570,60,288,107,0,0,1,108,750,750
2013,Djibouti,11.82514,42.59028,Eritrea,G / FI,750,185,202,81,0,0,0,81,871,878
2008,Djibouti,11.82514,42.59028,Eritrea,U / FI,107,0,191,73,0,0,0,73,225,0
2014,Djibouti,11.82514,42.59028,Eritrea,G / FI,871,871,131,17,0,0,48,65,937,937
2007,Djibouti,11.82514,42.59028,Eritrea,G / FI,14,0,93,0,0,0,0,,107,0
2010,Djibouti,11.82514,42.59028,Eritrea,J / FI,462,0,80,111,0,0,71,182,360,360
2003,Djibouti,11.82514,42.59028,Eritrea,G / FI,0,0,64,0,0,0,0,,64,64
2005,Djibouti,11.82514,42.59028,Eritrea,G / FI,0,0,17,0,0,0,0,,17,0
2006,Djibouti,11.82514,42.59028,Eritrea,U / AR,0,0,2,0,0,0,0,,2,0
2004,Djibouti,11.82514,42.59028,Eritrea,G / FI,64,64,0,6,0,54,4,64,0,0
2006,Djibouti,11.82514,42.59028,Eritrea,U / FI,24,0,0,8,0,2,0,10,14,0
2010,Ecuador,-1.83124,-78.18341,Eritrea,G / FA,37,37,48,5,0,3,0,8,77,77
2009,Ecuador,-1.83124,-78.18341,Eritrea,G / FA,0,0,38,1,0,0,0,1,37,37
2007,Ecuador,-1.83124,-78.18341,Eritrea,G / FA,0,0,3,0,2,0,0,2,1,1
2008,Ecuador,-1.83124,-78.18341,Eritrea,G / FA,1,1,0,0,1,0,0,1,0,0
2011,Ecuador,-1.83124,-78.18341,Eritrea,G / FA,77,77,0,0,0,0,0,,3,3
2012,Ecuador,-1.83124,-78.18341,Eritrea,G / FA,3,3,0,2,0,0,0,2,0,0
2014,Egypt,26.82055,30.8025,Eritrea,U / AR,56,56,0,7,0,*,0,10,49,49
2013,Egypt,26.82055,30.8025,Eritrea,U / FA,1050,1050,868,553,0,13,2,568,1350,1350
2007,Egypt,26.82055,30.8025,Eritrea,U / FI,112,0,829,123,0,145,4,272,669,0
2008,Egypt,26.82055,30.8025,Eritrea,U / FI,669,669,632,374,0,250,5,629,672,672
2012,Egypt,26.82055,30.8025,Eritrea,U / FI,749,749,631,320,0,10,0,330,1050,1050
2011,Egypt,26.82055,30.8025,Eritrea,U / FI,487,0,465,161,0,23,30,214,738,0
2014,Egypt,26.82055,30.8025,Eritrea,U / FI,1229,1229,430,361,0,45,284,690,969,969
2009,Egypt,26.82055,30.8025,Eritrea,U / FI,672,0,238,215,0,82,59,356,554,0
2001,Egypt,26.82055,30.8025,Eritrea,U / FI,206,0,224,31,0,67,0,98,332,0
2010,Egypt,26.82055,30.8025,Eritrea,U / FI,554,0,220,170,0,100,17,287,487,0
2000,Egypt,26.82055,30.8025,Eritrea,U / FI,68,0,211,8,0,65,0,73,206,0
2006,Egypt,26.82055,30.8025,Eritrea,U / FI,89,0,208,88,0,96,1,185,112,0
2005,Egypt,26.82055,30.8025,Eritrea,U / FA,31,0,153,35,0,43,17,95,89,0
2008,Egypt,26.82055,30.8025,Eritrea,U / AR,80,80,121,6,0,99,0,105,96,96
2004,Egypt,26.82055,30.8025,Eritrea,U / FI,221,0,106,80,0,47,169,296,31,0
2010,Egypt,26.82055,30.8025,Eritrea,U / AR,99,0,80,9,0,36,0,45,134,0
2007,Egypt,26.82055,30.8025,Eritrea,U / AR,34,0,75,1,0,24,4,29,80,0
2014,Egypt,26.82055,30.8025,Eritrea,U / RA,75,75,64,16,0,31,0,47,92,92
2002,Egypt,26.82055,30.8025,Eritrea,U / FI,332,0,59,15,0,111,0,126,265,0
2003,Egypt,26.82055,30.8025,Eritrea,U / FI,265,0,55,65,0,34,0,99,221,0
2009,Egypt,26.82055,30.8025,Eritrea,U / AR,96,0,53,23,0,9,18,50,99,0
2011,Egypt,26.82055,30.8025,Eritrea,U / AR,134,0,33,14,0,10,0,24,143,0
2006,Egypt,26.82055,30.8025,Eritrea,U / AR,17,0,26,1,0,8,0,9,34,0
2014,El Salvador,13.79419,-88.89653,Eritrea,G / FI,0,0,0,0,0,*,0,*,0,0
2009,El Salvador,13.79419,-88.89653,Eritrea,G / FA,0,0,26,0,0,0,26,26,0,0
2010,El Salvador,13.79419,-88.89653,Eritrea,G / FI,0,0,15,0,0,0,15,15,0,0
2007,El Salvador,13.79419,-88.89653,Eritrea,G / FI,0,0,7,0,0,0,2,2,5,5
2011,El Salvador,13.79419,-88.89653,Eritrea,G / FI,0,0,7,0,0,0,7,7,0,0
2008,El Salvador,13.79419,-88.89653,Eritrea,G / FA,5,5,0,0,0,0,5,5,0,0
2014,Estonia,58.59527,25.01361,Eritrea,G / FI,0,0,0,0,0,0,0,,*,0
2009,Ethiopia,9.145,40.48967,Eritrea,J / FI,714,714,17329,16724,0,359,495,17578,465,9
2008,Ethiopia,9.145,40.48967,Eritrea,J / FI,5,5,8709,7895,0,105,0,8000,714,714
2007,Ethiopia,9.145,40.48967,Eritrea,J / FI,1,1,7810,7806,0,0,0,7806,5,5
2005,Ethiopia,9.145,40.48967,Eritrea,G / FA,0,0,2966,2966,0,0,0,2966,0,0
2006,Ethiopia,9.145,40.48967,Eritrea,J / FI,0,0,2656,2655,0,0,0,2655,1,0
2004,Ethiopia,9.145,40.48967,Eritrea,G / FA,0,0,2187,2187,0,0,0,2187,0,0
2003,Ethiopia,9.145,40.48967,Eritrea,G / FI,0,0,1580,1580,0,0,0,1580,0,0
2002,Ethiopia,9.145,40.48967,Eritrea,G / FI,0,0,1066,1066,0,0,0,1066,0,0
2014,Ethiopia,9.145,40.48967,Eritrea,J / FI,41,41,20,13,0,0,34,47,14,14
2012,Ethiopia,9.145,40.48967,Eritrea,J / FI,50,50,17,15,0,0,0,15,52,52
2010,Ethiopia,9.145,40.48967,Eritrea,J / FI,465,465,4,2,0,0,324,326,143,143
2011,Ethiopia,9.145,40.48967,Eritrea,J / FI,143,0,0,0,0,0,93,93,50,0
2013,Ethiopia,9.145,40.48967,Eritrea,J / FI,52,52,0,15,0,0,28,43,9,9
2011,Fiji,-16.57819,179.41441,Eritrea,J / FA,0,0,1,0,0,0,0,,1,1
2012,Fiji,-16.57819,179.41441,Eritrea,J / FI,1,1,0,1,0,0,0,1,0,0
2010,Finland,61.92411,25.74815,Eritrea,G / FI,8,0,14,1,1,2,12,16,5,0
2009,Finland,61.92411,25.74815,Eritrea,G / FI,3,0,12,0,1,1,5,7,8,0
2014,Finland,61.92411,25.74815,Eritrea,G / FI,*,0,9,0,*,*,*,5,7,0
2011,Finland,61.92411,25.74815,Eritrea,G / FI,5,0,7,1,4,0,2,7,9,0
2004,Finland,61.92411,25.74815,Eritrea,G / FA,0,0,6,0,1,0,0,1,0,0
2012,Finland,61.92411,25.74815,Eritrea,G / FI,9,0,5,4,0,1,2,7,7,0
2006,Finland,61.92411,25.74815,Eritrea,G / FI,0,0,3,0,0,1,0,1,2,0
2008,Finland,61.92411,25.74815,Eritrea,G / FI,1,0,3,0,1,0,0,1,3,0
2000,Finland,61.92411,25.74815,Eritrea,G / FI,0,0,2,0,0,0,0,,0,0
2005,Finland,61.92411,25.74815,Eritrea,G / FA,0,0,2,1,0,1,0,2,0,0
2013,Finland,61.92411,25.74815,Eritrea,G / FI,7,0,2,4,3,0,0,7,2,0
2003,Finland,61.92411,25.74815,Eritrea,G / FI,0,0,1,0,0,0,0,,0,0
2007,Finland,61.92411,25.74815,Eritrea,G / FI,2,0,1,1,0,0,1,2,1,0
2001,Finland,61.92411,25.74815,Eritrea,G / FI,0,0,0,0,0,2,0,2,0,0
2011,France,46.22764,2.21375,Eritrea,G / FI,0,0,932,362,3,555,0,920,0,0
2010,France,46.22764,2.21375,Eritrea,G / FI,0,0,724,281,7,225,0,513,0,0
2014,France,46.22764,2.21375,Eritrea,G / FI,112,0,723,69,*,404,0,474,296,0
2012,France,46.22764,2.21375,Eritrea,G / FI,0,0,481,92,0,558,0,650,0,0
2012,France,46.22764,2.21375,Eritrea,G / AR,0,0,424,132,5,113,0,250,0,0
2009,France,46.22764,2.21375,Eritrea,G / FI,0,0,421,122,13,59,0,194,0,0
2013,France,46.22764,2.21375,Eritrea,G / FI,0,0,412,47,0,284,0,331,112,0
2014,France,46.22764,2.21375,Eritrea,G / AR,169,0,304,118,*,160,12,292,194,0
2013,France,46.22764,2.21375,Eritrea,G / AR,284,0,244,133,8,192,21,354,169,0
2008,France,46.22764,2.21375,Eritrea,G / FI,0,0,123,62,0,24,0,86,0,0
2007,France,46.22764,2.21375,Eritrea,G / FI,0,0,91,50,0,17,0,67,0,0
2006,France,46.22764,2.21375,Eritrea,G / FI,0,0,55,30,2,13,0,45,0,0
2005,France,46.22764,2.21375,Eritrea,G / FI,0,0,53,28,0,17,0,45,0,0
2004,France,46.22764,2.21375,Eritrea,G / FI,0,0,29,7,0,21,0,28,0,0
2002,France,46.22764,2.21375,Eritrea,G / FI,0,0,22,0,0,0,0,,0,0
2013,France,46.22764,2.21375,Eritrea,G / RA,0,0,19,0,0,0,0,,0,0
2003,France,46.22764,2.21375,Eritrea,G / FI,0,0,18,4,0,20,0,24,0,0
2012,France,46.22764,2.21375,Eritrea,G / RA,0,0,13,0,0,0,0,,0,0
2000,France,46.22764,2.21375,Eritrea,G / FI,0,0,11,3,0,2,0,5,0,0
2001,France,46.22764,2.21375,Eritrea,G / FI,0,0,11,9,0,5,0,14,0,0
2014,France,46.22764,2.21375,Eritrea,G / RA,0,0,6,0,0,0,0,,0,0
2010,France,46.22764,2.21375,Eritrea,G / RA,0,0,5,10,0,0,0,10,0,0
2006,France,46.22764,2.21375,Eritrea,G / RA,0,0,4,9,1,0,0,10,0,0
2008,France,46.22764,2.21375,Eritrea,G / RA,0,0,4,0,0,0,0,,0,0
2009,France,46.22764,2.21375,Eritrea,G / RA,0,0,4,10,0,0,0,10,0,0
2011,France,46.22764,2.21375,Eritrea,G / RA,0,0,2,0,0,0,0,,0,0
2005,France,46.22764,2.21375,Eritrea,G / RA,0,0,1,7,0,0,0,7,0,0
2007,France,46.22764,2.21375,Eritrea,G / RA,0,0,1,6,2,0,0,8,0,0
2003,France,46.22764,2.21375,Eritrea,G / RA,0,0,0,1,0,0,0,1,0,0
2004,France,46.22764,2.21375,Eritrea,G / RA,0,0,0,3,0,0,0,3,0,0
2011,France,46.22764,2.21375,Eritrea,G / JR,0,0,0,58,15,79,0,152,0,0
2000,Gabon,-0.80369,11.60944,Eritrea,U / FI,1,1,0,0,0,0,0,,1,1
2001,Gabon,-0.80369,11.60944,Eritrea,U / FI,1,1,0,0,0,0,0,,1,1
2002,Gabon,-0.80369,11.60944,Eritrea,G / FI,1,1,0,0,0,0,1,1,0,0
2003,Gambia,13.44318,-15.31014,Eritrea,G / FI,0,0,1,0,0,0,0,,1,1
2009,Gambia,13.44318,-15.31014,Eritrea,G / FI,0,0,1,0,0,0,0,,1,0
2010,Gambia,13.44318,-15.31014,Eritrea,G / FI,1,0,1,0,0,0,0,2,0,0
2014,Germany,51.16569,10.45153,Eritrea,G / NA,3854,0,13198,738,230,16,773,1757,15132,0
2013,Germany,51.16569,10.45153,Eritrea,G / NA,888,0,3616,368,51,20,136,575,3854,0
2012,Germany,51.16569,10.45153,Eritrea,G / NA,639,0,650,204,35,38,81,358,888,0
2010,Germany,51.16569,10.45153,Eritrea,G / NA,143,0,642,266,46,10,49,371,404,0
2011,Germany,51.16569,10.45153,Eritrea,G / NA,404,0,632,250,34,16,82,382,639,0
2003,Germany,51.16569,10.45153,Eritrea,G / NA,281,0,556,11,25,488,12,536,307,0
2004,Germany,51.16569,10.45153,Eritrea,G / NA,307,0,456,18,22,451,82,573,199,0
2002,Germany,51.16569,10.45153,Eritrea,G / NA,205,0,378,18,55,265,12,350,281,0
2005,Germany,51.16569,10.45153,Eritrea,G / NA,199,0,367,31,11,308,30,380,184,0
2009,Germany,51.16569,10.45153,Eritrea,G / NA,212,0,346,325,52,19,21,417,143,0
2007,Germany,51.16569,10.45153,Eritrea,G / NA,158,0,335,109,29,127,33,298,194,0
2001,Germany,51.16569,10.45153,Eritrea,G / NA,120,0,299,17,34,178,5,234,205,0
2006,Germany,51.16569,10.45153,Eritrea,G / NA,184,0,281,79,25,190,19,313,158,0
2008,Germany,51.16569,10.45153,Eritrea,G / NA,194,0,262,150,15,41,39,245,212,0
2000,Germany,51.16569,10.45153,Eritrea,G / NA,68,0,251,15,8,188,8,219,120,0
2006,Germany,51.16569,10.45153,Eritrea,G / RA,39,0,151,26,26,2,54,108,80,0
2005,Germany,51.16569,10.45153,Eritrea,G / RA,35,0,134,63,6,2,58,129,39,0
2007,Germany,51.16569,10.45153,Eritrea,G / RA,80,0,113,48,65,5,36,154,42,0
2004,Germany,51.16569,10.45153,Eritrea,G / RA,13,0,67,7,1,0,35,43,35,0
2014,Germany,51.16569,10.45153,Eritrea,G / RA,24,0,55,7,16,0,14,37,58,0
2008,Germany,51.16569,10.45153,Eritrea,G / RA,42,0,42,21,18,0,7,46,36,0
2009,Germany,51.16569,10.45153,Eritrea,G / RA,36,0,32,25,21,0,3,49,21,0
2000,Germany,51.16569,10.45153,Eritrea,G / RA,9,0,28,1,0,7,25,33,5,0
2002,Germany,51.16569,10.45153,Eritrea,G / RA,5,0,27,1,2,0,21,24,10,0
2001,Germany,51.16569,10.45153,Eritrea,G / RA,5,0,23,1,1,0,21,23,5,0
2013,Germany,51.16569,10.45153,Eritrea,G / RA,15,0,22,5,3,0,8,16,24,0
2010,Germany,51.16569,10.45153,Eritrea,G / RA,21,0,20,8,14,0,7,29,13,0
2012,Germany,51.16569,10.45153,Eritrea,G / RA,12,0,19,9,3,1,4,17,15,0
2003,Germany,51.16569,10.45153,Eritrea,G / RA,10,0,17,5,1,0,10,16,13,0
2011,Germany,51.16569,10.45153,Eritrea,G / RA,13,0,17,15,3,0,7,25,12,0
2005,Germany,51.16569,10.45153,Eritrea,G / JR,1023,0,0,0,0,0,0,,912,0
2006,Germany,51.16569,10.45153,Eritrea,G / JR,912,0,0,0,0,0,0,,622,0
2007,Germany,51.16569,10.45153,Eritrea,G / JR,384,0,0,0,0,0,0,,200,0
2008,Germany,51.16569,10.45153,Eritrea,G / JR,200,0,0,0,0,0,0,,103,0
2009,Germany,51.16569,10.45153,Eritrea,G / JR,103,0,0,0,0,0,0,,135,0
2010,Germany,51.16569,10.45153,Eritrea,G / JR,135,0,0,0,0,0,0,,119,0
2011,Germany,51.16569,10.45153,Eritrea,G / JR,119,0,0,0,0,0,0,,111,0
2012,Germany,51.16569,10.45153,Eritrea,G / JR,111,0,0,0,0,0,0,,115,0
2013,Germany,51.16569,10.45153,Eritrea,G / JR,115,0,0,0,0,0,0,,223,0
2014,Germany,51.16569,10.45153,Eritrea,G / JR,223,0,0,0,0,0,0,,629,0
2013,Ghana,7.94653,-1.02319,Eritrea,G / FI,9,9,7,0,0,0,0,,16,16
2010,Ghana,7.94653,-1.02319,Eritrea,G / FI,2,2,5,0,0,0,0,,7,7
2014,Ghana,7.94653,-1.02319,Eritrea,G / FI,16,16,5,5,0,0,*,8,13,13
2001,Ghana,7.94653,-1.02319,Eritrea,G / FI,0,0,2,0,0,0,0,,2,1
2007,Ghana,7.94653,-1.02319,Eritrea,G / FI,1,1,1,0,0,0,0,,2,2
2009,Ghana,7.94653,-1.02319,Eritrea,G / FI,1,1,1,0,0,0,0,,2,2
2011,Ghana,7.94653,-1.02319,Eritrea,J / FA,7,7,1,0,0,0,0,,8,8
2012,Ghana,7.94653,-1.02319,Eritrea,G / FI,8,8,1,0,0,0,0,,9,9
2002,Ghana,7.94653,-1.02319,Eritrea,G / FI,2,1,0,0,0,0,0,,2,1
2003,Ghana,7.94653,-1.02319,Eritrea,G / FI,2,2,0,0,0,0,0,,2,2
2004,Ghana,7.94653,-1.02319,Eritrea,G / FA,2,2,0,1,0,0,0,1,1,1
2005,Ghana,7.94653,-1.02319,Eritrea,G / FI,1,1,0,0,0,0,0,,1,1
2006,Ghana,7.94653,-1.02319,Eritrea,G / FI,1,1,0,0,0,0,0,,1,1
2008,Ghana,7.94653,-1.02319,Eritrea,G / FI,2,2,0,0,0,1,0,1,1,1
2014,Greece,39.07421,21.82431,Eritrea,G / FI,120,0,259,128,7,140,140,415,77,*
2013,Greece,39.07421,21.82431,Eritrea,G / FI,0,0,158,35,5,68,57,165,120,0
2012,Greece,39.07421,21.82431,Eritrea,G / FI,0,0,138,1,1,59,5,66,0,0
2014,Greece,39.07421,21.82431,Eritrea,G / AR,133,0,91,15,*,11,48,75,22,0
2010,Greece,39.07421,21.82431,Eritrea,G / FI,0,0,59,0,0,8,3,11,0,0
2008,Greece,39.07421,21.82431,Eritrea,G / FI,13,0,47,0,0,32,0,32,28,0
2009,Greece,39.07421,21.82431,Eritrea,G / FI,28,0,47,0,0,27,6,33,0,0
2011,Greece,39.07421,21.82431,Eritrea,G / FI,0,0,37,1,1,12,1,15,0,0
2003,Greece,39.07421,21.82431,Eritrea,G / fi,1,1,31,0,0,6,0,6,26,26
2006,Greece,39.07421,21.82431,Eritrea,G / FA,5,5,28,0,0,18,26,44,0,0
2001,Greece,39.07421,21.82431,Eritrea,G / FI,6,0,26,0,2,0,0,2,30,0
2007,Greece,39.07421,21.82431,Eritrea,G / FI,0,0,26,0,0,12,1,13,13,0
2013,Greece,39.07421,21.82431,Eritrea,G / AR,0,0,24,3,0,0,0,3,133,0
2005,Greece,39.07421,21.82431,Eritrea,G / FI,19,19,17,0,2,14,15,31,5,5
2002,Greece,39.07421,21.82431,Eritrea,G / FI,30,0,14,0,0,43,0,43,1,1
2004,Greece,39.07421,21.82431,Eritrea,G / FI,26,26,10,0,0,12,5,17,19,19
2000,Greece,39.07421,21.82431,Eritrea,G / FI,0,0,6,0,0,4,0,4,6,0
2010,Greece,39.07421,21.82431,Eritrea,G / AR,64,0,4,0,0,0,0,,68,0
2007,Greece,39.07421,21.82431,Eritrea,G / AR,1,0,0,0,1,0,0,1,0,0
2011,Greece,39.07421,21.82431,Eritrea,G / AR,68,0,0,0,0,0,0,,0,0
2014,Guinea,9.94559,-9.69665,Eritrea,G / FI,0,0,0,*,0,0,0,*,*,0
2009,Guinea-Bissau,11.80375,-15.18041,Eritrea,G / FI,0,0,1,0,0,1,0,1,0,0
2010,Guinea-Bissau,11.80375,-15.18041,Eritrea,G / FI,0,0,1,1,0,0,0,1,0,0
2010,Honduras,15.2,-86.24191,Eritrea,G / FI,0,0,38,0,0,0,38,38,0,0
2008,Honduras,15.2,-86.24191,Eritrea,G / FI,0,0,12,0,0,0,12,12,0,0
2005,Honduras,15.2,-86.24191,Eritrea,G / FI,0,0,4,0,0,0,2,2,2,1
2004,Honduras,15.2,-86.24191,Eritrea,G / FI,0,0,3,0,0,0,3,3,0,0
2006,Honduras,15.2,-86.24191,Eritrea,G / FI,2,1,2,0,0,0,4,4,0,0
2014,Hong kong,22.39643,114.1095,Eritrea,U / AR,0,0,0,0,0,0,0,,*,*
2002,Hong kong,22.39643,114.1095,Eritrea,U / FI,0,0,10,8,0,0,0,8,2,1
2008,Hong kong,22.39643,114.1095,Eritrea,U / FI,1,0,7,5,0,0,0,5,3,0
2010,Hong kong,22.39643,114.1095,Eritrea,U / FI,3,3,5,3,0,2,0,5,3,3
2009,Hong kong,22.39643,114.1095,Eritrea,U / FI,3,0,4,3,0,0,1,4,3,3
2011,Hong kong,22.39643,114.1095,Eritrea,U / FI,3,3,4,0,0,0,0,,7,7
2000,Hong kong,22.39643,114.1095,Eritrea,U / FI,1,1,3,0,1,2,0,3,1,0
2004,Hong kong,22.39643,114.1095,Eritrea,U / FA,1,0,3,2,0,0,1,3,1,0
2003,Hong kong,22.39643,114.1095,Eritrea,U / FI,2,1,2,1,0,2,0,3,1,0
2005,Hong kong,22.39643,114.1095,Eritrea,U / FI,0,0,2,0,0,0,0,,3,0
2007,Hong kong,22.39643,114.1095,Eritrea,U / FI,2,0,2,2,0,1,0,3,1,0
2010,Hong kong,22.39643,114.1095,Eritrea,U / AR,1,1,2,1,0,2,0,3,0,0
2012,Hong kong,22.39643,114.1095,Eritrea,U / FI,7,7,2,1,0,0,0,1,8,8
2007,Hong kong,22.39643,114.1095,Eritrea,U / RA,0,0,1,0,0,0,0,,1,0
2009,Hong kong,22.39643,114.1095,Eritrea,U / AR,0,0,1,0,0,0,0,,1,1
2001,Hong kong,22.39643,114.1095,Eritrea,U / FI,1,0,0,1,0,0,0,1,0,0
2005,Hong kong,22.39643,114.1095,Eritrea,U / FA,1,0,0,0,0,0,0,,0,0
2006,Hong kong,22.39643,114.1095,Eritrea,U / FI,3,0,0,1,0,0,0,1,2,0
2008,Hong kong,22.39643,114.1095,Eritrea,U / RA,1,0,0,0,0,0,1,1,0,0
2013,Hong kong,22.39643,114.1095,Eritrea,U / FI,8,8,0,2,0,0,0,2,6,6
2014,Hong kong,22.39643,114.1095,Eritrea,U / FI,6,6,0,*,0,*,0,*,*,*
2014,Hungary,47.16249,19.5033,Eritrea,G / FI,21,0,108,8,20,*,103,134,11,0
2013,Hungary,47.16249,19.5033,Eritrea,G / FI,1,0,92,3,7,2,55,67,18,0
2001,Hungary,47.16249,19.5033,Eritrea,G / FI,6,0,11,1,0,6,9,16,1,0
2014,Hungary,47.16249,19.5033,Eritrea,G / RA,0,0,10,0,0,0,0,,0,0
2000,Hungary,47.16249,19.5033,Eritrea,G / FI,1,0,8,0,1,0,2,3,6,0
2012,Hungary,47.16249,19.5033,Eritrea,G / FI,0,0,5,0,2,0,5,7,0,0
2011,Hungary,47.16249,19.5033,Eritrea,G / FI,0,0,4,1,0,0,0,1,0,0
2013,Hungary,47.16249,19.5033,Eritrea,G / RA,0,0,3,0,0,0,0,,0,0
2007,Hungary,47.16249,19.5033,Eritrea,G / FI,0,0,2,0,0,0,1,1,1,1
2002,Hungary,47.16249,19.5033,Eritrea,G / FI,1,0,1,0,0,1,1,2,0,0
2003,Hungary,47.16249,19.5033,Eritrea,G / FI,0,0,1,0,0,0,1,1,0,0
2004,Hungary,47.16249,19.5033,Eritrea,G / FI,0,0,1,1,0,0,0,1,0,0
2013,Iceland,64.96305,-19.02084,Eritrea,G / FI,1,0,5,0,0,0,1,1,5,0
2008,Iceland,64.96305,-19.02084,Eritrea,G / FI,0,0,2,0,0,0,2,2,0,0
2009,Iceland,64.96305,-19.02084,Eritrea,G / FI,0,0,2,2,0,0,0,2,0,0
2011,Iceland,64.96305,-19.02084,Eritrea,G / FI,0,0,2,0,0,0,2,2,0,0
2011,Iceland,64.96305,-19.02084,Eritrea,G / AR,0,0,2,0,0,0,0,,2,0
2012,Iceland,64.96305,-19.02084,Eritrea,G / FI,0,0,2,0,0,0,1,1,1,0
2003,Iceland,64.96305,-19.02084,Eritrea,G / FI,0,0,1,0,0,0,0,,1,0
2005,Iceland,64.96305,-19.02084,Eritrea,G / FI,0,0,1,0,0,0,0,,1,0
2010,Iceland,64.96305,-19.02084,Eritrea,G / FI,0,0,1,1,0,0,0,1,0,0
2012,Iceland,64.96305,-19.02084,Eritrea,G / AR,2,0,1,0,0,0,1,1,1,0
2013,Iceland,64.96305,-19.02084,Eritrea,G / AR,1,0,1,0,0,0,1,1,1,0
2004,Iceland,64.96305,-19.02084,Eritrea,G / FI,1,0,0,0,0,0,1,1,0,0
2006,Iceland,64.96305,-19.02084,Eritrea,G / FI,2,0,0,0,1,1,0,2,0,0
2007,Iceland,64.96305,-19.02084,Eritrea,G / FI,1,0,0,0,0,0,0,,1,0
2008,Iceland,64.96305,-19.02084,Eritrea,G / AR,1,0,0,0,1,0,0,1,0,0
2014,Iceland,64.96305,-19.02084,Eritrea,G / FI,5,0,0,0,0,0,0,,5,0
2010,India,20.59368,78.96288,Eritrea,U / FI,11,11,25,20,0,4,3,27,9,9
2002,India,20.59368,78.96288,Eritrea,U / FI,0,0,22,3,0,13,0,16,6,6
2003,India,20.59368,78.96288,Eritrea,U / FI,6,6,22,0,0,14,10,24,4,4
2012,India,20.59368,78.96288,Eritrea,U / FI,0,0,15,5,0,2,0,7,8,8
2009,India,20.59368,78.96288,Eritrea,U / FI,0,0,14,1,0,2,0,3,11,11
2013,India,20.59368,78.96288,Eritrea,U / FI,8,8,14,12,0,0,0,12,10,10
2005,India,20.59368,78.96288,Eritrea,U / FI,4,4,13,0,0,2,4,6,11,11
2006,India,20.59368,78.96288,Eritrea,U / FI,11,11,11,0,0,5,7,12,10,10
2004,India,20.59368,78.96288,Eritrea,U / FI,4,4,10,2,0,7,1,10,4,4
2007,India,20.59368,78.96288,Eritrea,U / FI,10,10,8,1,0,10,0,11,7,7
2003,India,20.59368,78.96288,Eritrea,U / AR,0,0,7,0,0,4,0,4,3,3
2007,India,20.59368,78.96288,Eritrea,U / AR,2,2,7,1,0,0,0,1,8,8
2000,India,20.59368,78.96288,Eritrea,U / FI,0,0,5,0,0,4,1,5,0,0
2008,India,20.59368,78.96288,Eritrea,U / FI,7,7,5,11,0,0,1,12,0,0
2011,India,20.59368,78.96288,Eritrea,U / FI,9,9,5,13,0,1,0,14,0,0
2011,India,20.59368,78.96288,Eritrea,U / AR,0,0,5,2,0,2,0,4,1,1
2004,India,20.59368,78.96288,Eritrea,U / AR,3,3,4,3,0,1,3,7,0,0
2010,India,20.59368,78.96288,Eritrea,U / AR,0,0,4,1,0,1,2,4,0,0
2005,India,20.59368,78.96288,Eritrea,U / AR,0,0,3,0,0,0,2,2,1,1
2006,India,20.59368,78.96288,Eritrea,U / AR,1,1,3,0,0,2,0,2,2,2
2001,India,20.59368,78.96288,Eritrea,U / FI,0,0,2,0,0,2,0,2,0,0
2012,India,20.59368,78.96288,Eritrea,U / AR,1,1,2,1,0,2,0,3,0,0
2008,India,20.59368,78.96288,Eritrea,U / AR,8,8,0,1,0,1,1,3,5,5
2009,India,20.59368,78.96288,Eritrea,U / AR,5,5,0,4,0,1,0,5,0,0
2014,India,20.59368,78.96288,Eritrea,U / FI,10,10,0,0,0,*,0,*,9,9
2013,Indonesia,-0.78928,113.92133,Eritrea,U / FI,4,4,23,1,0,0,2,3,24,24
2014,Indonesia,-0.78928,113.92133,Eritrea,U / FI,24,24,9,13,0,0,9,22,11,11
2012,Indonesia,-0.78928,113.92133,Eritrea,U / FA,0,0,4,0,0,0,0,,4,4
